GLON,GLAT,RECNO,ASSOC_3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX
139.2885,+72.6855,     875,J1224.6+4332 ,  0,Y,B3 1222+438               ,186.21461,+43.58869, 0.060, 0.104,bll    ,LSP,13.320,13.320,        , 0.988, 0.869, 0.000,      ,   366.61,N,        ,      ,19.290, 0.80,
302.0983,-20.3907,     876,J1224.6-8312 ,  0,Y,PKS 1221-82               ,186.22659,-83.21947, 0.012, 0.118,bcu I  ,LSP,11.950,11.950,        , 0.999, 0.902, 0.000, 2.103,   517.60,S,        ,      ,      ,     ,
255.0734,+81.6598,     877,J1224.9+2122 ,  1,Y,4C +21.35                 ,186.22691,+21.37955, 0.003, 0.010,fsrq   ,LSP,13.720,13.877, 0.43500, 1.000, 0.990, 0.966, 0.828,  2095.20,N,  38.200,16.249,15.850, 0.60, 1.26
301.0393,-10.4510,     878,J1225.7-7314 ,  0,N,PMN J1225-7313            ,186.39704,-73.22764, 0.018, 0.075,bcu II ,ISP,14.825,14.825,        , 0.999, 0.890, 0.000, 0.179,   267.30,S,        ,18.644,      , 0.54,
285.8294,+68.6958,     879,J1226.8+0638 ,  0,Y,1RXS J122645.2+063906     ,186.68425,+06.64814, 0.016, 0.064,bll    ,HSP,15.850,15.850,        , 0.997, 0.000, 0.846,      ,    17.37,N,  16.700,18.522,16.800, 0.25, 1.33
293.8278,+48.9601,     880,J1226.9-1329 ,  0,N,PMN J1226-1328            ,186.72674,-13.47750, 0.026, 0.047,bll    ,LSP,13.215,13.378, 0.45600, 0.999, 0.881, 0.000, 0.077,   146.21,N,        ,      ,      ,     ,
132.7403,+67.7291,     881,J1228.7+4857 ,  0,Y,TXS 1226+492              ,187.21570,+48.96703, 0.023, 0.060,fsrq   ,LSP,12.500,12.935, 1.72200, 0.998, 0.917, 0.000, 0.468,   387.55,N,        ,20.295,18.140, 0.68, 1.36
289.9509,+64.3600,     882,J1229.1+0202 ,  0,Y,3C 273                    ,187.27792,+02.05239, 0.015, 0.019,fsrq   ,LSP,13.460,13.524, 0.15800, 1.000, 0.997, 0.985, 1.127, 54992.24,N,1110.000,13.941,13.230, 0.69, 1.13
232.7541,+84.9065,     883,J1230.3+2519 ,  0,Y,ON 246                    ,187.55871,+25.30198, 0.028, 0.055,bll    ,ISP,14.850,14.905, 0.13500, 0.999, 0.894, 0.894,-0.790,   244.06,N,  39.200,15.362,14.230, 0.32, 1.57
283.7777,+74.4912,     884,J1230.9+1224 ,  1,Y,M 87                      ,187.70593,+12.39112, 0.026, 0.042,rdg    ,-  ,      ,      , 0.00428, 0.999, 0.997, 0.000,      ,138488.36,N,        , 9.376,      , 0.24, 1.88
